date,ticker,close,volume
2022-01-03,GRVC,122.06,1392451
2022-01-04,GRVC,121.96,804914
2022-01-05,GRVC,123.92,1307056
2022-01-06,GRVC,122.95,989661
2022-01-07,GRVC,122.25,919218
2022-01-10,GRVC,123.02,909472
2022-01-11,GRVC,122.63,746484
2022-01-12,GRVC,123.32,992506
2022-01-13,GRVC,124.74,1112434
2022-01-14,GRVC,127.43,1419913
2022-01-17,GRVC,127.52,740656
2022-01-18,GRVC,126.62,968153
2022-01-19,GRVC,124.23,1430781
2022-01-20,GRVC,126.05,1264963
2022-01-21,GRVC,121.89,2168766
2022-01-24,GRVC,122.79,870864
2022-01-25,GRVC,124.5,1199197
2022-01-26,GRVC,122.2,1541426
2022-01-27,GRVC,126.49,2108533
2022-01-28,GRVC,126.21,656093
2022-01-31,GRVC,127.81,1109865
2022-02-01,GRVC,124.59,1609785
2022-02-02,GRVC,125,635862
2022-02-03,GRVC,125.22,627989
2022-02-04,GRVC,125.65,739983
2022-02-07,GRVC,124.7,913786
2022-02-08,GRVC,125.07,790878
2022-02-09,GRVC,125.3,548978
2022-02-10,GRVC,124.19,1041572
2022-02-11,GRVC,122.43,1243602
2022-02-14,GRVC,123.6,874274
2022-02-15,GRVC,122.35,982262
2022-02-16,GRVC,122.15,541095
2022-02-17,GRVC,122.71,750452
2022-02-18,GRVC,120.4,1475672
2022-02-21,GRVC,122.74,1483672
2022-02-22,GRVC,121.92,988831
2022-02-23,GRVC,122.78,847813
2022-02-24,GRVC,121.53,1024330
2022-02-25,GRVC,120.7,827662
2022-02-28,GRVC,120.56,756642
2022-03-01,GRVC,122.9,1439333
2022-03-02,GRVC,124.86,1409349
2022-03-03,GRVC,125.42,900666
2022-03-04,GRVC,124.79,745554
2022-03-07,GRVC,122.88,1243380
2022-03-08,GRVC,121.91,934207
2022-03-09,GRVC,119.99,1254348
2022-03-10,GRVC,119.43,877106
2022-03-11,GRVC,118.61,907632
2022-03-14,GRVC,114.98,1904212
2022-03-15,GRVC,114.92,733830
2022-03-16,GRVC,116.38,1146492
2022-03-17,GRVC,114.76,1339108
2022-03-18,GRVC,116.8,1349169
2022-03-21,GRVC,115.2,1311315
2022-03-22,GRVC,112.61,1695631
2022-03-23,GRVC,113.6,967613
2022-03-24,GRVC,115.3,1368890
2022-03-25,GRVC,112.63,1704924
2022-03-28,GRVC,115.54,1727450
2022-03-29,GRVC,115.85,762710
2022-03-30,GRVC,115.36,1014565
2022-03-31,GRVC,117.81,1478108
2022-04-01,GRVC,117.79,512460
2022-04-04,GRVC,118.22,676097
2022-04-05,GRVC,121.65,1928889
2022-04-06,GRVC,122.85,1007817
2022-04-07,GRVC,120.06,1584967
2022-04-08,GRVC,120.32,631644
2022-04-11,GRVC,118.48,1316643
2022-04-12,GRVC,115.08,1923359
2022-04-13,GRVC,116.7,1290361
2022-04-14,GRVC,114.3,1599498
2022-04-15,GRVC,116.55,1442066
2022-04-18,GRVC,119.4,1776038
2022-04-19,GRVC,123.08,1847060
2022-04-20,GRVC,122.33,982640
2022-04-21,GRVC,119.88,1577761
2022-04-22,GRVC,119.82,725671
2022-04-25,GRVC,119.28,778660
2022-04-26,GRVC,120.38,1061354
2022-04-27,GRVC,118.78,1250409
2022-04-28,GRVC,119.95,1108626
2022-04-29,GRVC,118.61,1178585
2022-05-02,GRVC,119.34,852662
2022-05-03,GRVC,121.18,1265993
2022-05-04,GRVC,121.54,576549
2022-05-05,GRVC,122.59,849508
2022-05-06,GRVC,122.54,505761
2022-05-09,GRVC,122.82,719604
2022-05-10,GRVC,123.02,699966
2022-05-11,GRVC,124.27,991376
2022-05-12,GRVC,119.4,2354141
2022-05-13,GRVC,121.67,1394404
2022-05-16,GRVC,123.59,1393571
2022-05-17,GRVC,127.39,1947015
2022-05-18,GRVC,126.5,896963
2022-05-19,GRVC,124.64,1483043
2022-05-20,GRVC,125.14,823541
2022-05-23,GRVC,125.95,956078
2022-05-24,GRVC,124.88,970766
2022-05-25,GRVC,124.87,654174
2022-05-26,GRVC,125.78,940715
2022-05-27,GRVC,122.79,1602326
2022-05-30,GRVC,122.09,1045071
2022-05-31,GRVC,121.22,837605
2022-06-01,GRVC,121.6,875822
2022-06-02,GRVC,121.94,711819
2022-06-03,GRVC,119.67,1569002
2022-06-06,GRVC,118.87,986853
2022-06-07,GRVC,115.87,1862740
2022-06-08,GRVC,115.89,676272
2022-06-09,GRVC,113.18,1656764
2022-06-10,GRVC,110.42,1784329
2022-06-13,GRVC,109.74,1024599
2022-06-14,GRVC,109.4,726602
2022-06-15,GRVC,112.03,1708979
2022-06-16,GRVC,113.79,1242640
2022-06-17,GRVC,114.22,699213
2022-06-20,GRVC,112.25,1298883
2022-06-21,GRVC,113.16,1116317
2022-06-22,GRVC,113.85,771763
2022-06-23,GRVC,115.11,966594
2022-06-24,GRVC,113.06,1542417
2022-06-27,GRVC,113.58,735877
2022-06-28,GRVC,114.5,929203
2022-06-29,GRVC,113.21,1071683
2022-06-30,GRVC,113.22,565258
2022-07-01,GRVC,111.26,1366100
2022-07-04,GRVC,111.51,605711
2022-07-05,GRVC,109.28,1413613
2022-07-06,GRVC,104.23,2732083
2022-07-07,GRVC,103.96,838289
2022-07-08,GRVC,102.22,1407163
2022-07-11,GRVC,101.3,1010086
2022-07-12,GRVC,100.73,1005500
2022-07-13,GRVC,102.04,1015822
2022-07-14,GRVC,103.26,1194758
2022-07-15,GRVC,102.63,777286
2022-07-18,GRVC,104.4,1218271
2022-07-19,GRVC,103.35,1111143
2022-07-20,GRVC,103.15,791833
2022-07-21,GRVC,104.8,1378743
2022-07-22,GRVC,106.98,1530786
2022-07-25,GRVC,107.45,725458
2022-07-26,GRVC,106.03,1106246
2022-07-27,GRVC,104.84,1258717
2022-07-28,GRVC,107,1503837
2022-07-29,GRVC,104.65,1743883
2022-08-01,GRVC,107.04,1557446
2022-08-02,GRVC,106.78,782323
2022-08-03,GRVC,108.63,1418275
2022-08-04,GRVC,109.47,908985
2022-08-05,GRVC,110.27,1050891
2022-08-08,GRVC,109.52,885072
2022-08-09,GRVC,110.04,898056
2022-08-10,GRVC,109.09,1016350
2022-08-11,GRVC,109.78,855832
2022-08-12,GRVC,113.41,2026266
2022-08-15,GRVC,114.01,949572
2022-08-16,GRVC,111.02,1716180
2022-08-17,GRVC,114.25,1861357
2022-08-18,GRVC,117.14,1588656
2022-08-19,GRVC,119.65,1624460
2022-08-22,GRVC,122.6,1626399
2022-08-23,GRVC,125.31,1589237
2022-08-24,GRVC,123.51,1329240
2022-08-25,GRVC,120.34,1732036
2022-08-26,GRVC,120.14,627986
2022-08-29,GRVC,113.48,3032536
2022-08-30,GRVC,115.03,1175486
2022-08-31,GRVC,113.03,1493077
2022-09-01,GRVC,113.36,647932
2022-09-02,GRVC,111.38,1503940
2022-09-05,GRVC,110.19,1129322
2022-09-06,GRVC,111.55,1041481
2022-09-07,GRVC,112.7,1103234
2022-09-08,GRVC,113.25,793055
2022-09-09,GRVC,114.3,957568
2022-09-12,GRVC,112.88,1160322
2022-09-13,GRVC,114.18,1203617
2022-09-14,GRVC,119.01,2558811
2022-09-15,GRVC,116.93,1366303
2022-09-16,GRVC,115.6,1311292
2022-09-19,GRVC,116.84,1071369
2022-09-20,GRVC,114.15,1731456
2022-09-21,GRVC,113.8,955216
2022-09-22,GRVC,114.84,967614
2022-09-23,GRVC,114.51,629372
2022-09-26,GRVC,114.17,864087
2022-09-27,GRVC,115.66,1172954
2022-09-28,GRVC,118.66,1724291
2022-09-29,GRVC,118.18,803062
2022-09-30,GRVC,116.95,1037310
2022-10-03,GRVC,119.39,1541610
2022-10-04,GRVC,118.71,936716
2022-10-05,GRVC,115.57,1795905
2022-10-06,GRVC,113.49,1404825
2022-10-07,GRVC,112.5,952901
2022-10-10,GRVC,113.66,1122489
2022-10-11,GRVC,112.64,1212871
2022-10-12,GRVC,114.57,1324206
2022-10-13,GRVC,117.37,1665220
2022-10-14,GRVC,117.48,631525
2022-10-17,GRVC,121.27,1864666
2022-10-18,GRVC,121.5,844743
2022-10-19,GRVC,118.84,1597362
2022-10-20,GRVC,122,1894783
2022-10-21,GRVC,118.7,1911469
2022-10-24,GRVC,120.91,1417737
2022-10-25,GRVC,121.66,919975
2022-10-26,GRVC,122.01,762534
2022-10-27,GRVC,119.3,1616286
2022-10-28,GRVC,118.68,844595
2022-10-31,GRVC,120.85,1343702
2022-11-01,GRVC,121.33,745199
2022-11-02,GRVC,115.62,2850709
2022-11-03,GRVC,118.76,1851341
2022-11-04,GRVC,114.77,2227272
2022-11-07,GRVC,114.15,829825
2022-11-08,GRVC,113.1,892189
2022-11-09,GRVC,112.57,829510
2022-11-10,GRVC,114.35,1341132
2022-11-11,GRVC,111.21,1887079
2022-11-14,GRVC,112,967782
2022-11-15,GRVC,107.96,2423229
2022-11-16,GRVC,110.05,1359012
2022-11-17,GRVC,109.35,882779
2022-11-18,GRVC,111.04,1391427
2022-11-21,GRVC,112.67,1289438
2022-11-22,GRVC,109.62,1708359
2022-11-23,GRVC,110.24,1028500
2022-11-24,GRVC,108,1510505
2022-11-25,GRVC,105.6,1604621
2022-11-28,GRVC,106.61,992680
2022-11-29,GRVC,105.44,1249455
2022-11-30,GRVC,106.96,1276543
2022-12-01,GRVC,106.38,870426
2022-12-02,GRVC,108.9,1612975
2022-12-05,GRVC,109.41,768033
2022-12-06,GRVC,108.79,885337
2022-12-07,GRVC,112.47,2012095
2022-12-08,GRVC,115.24,1709461
2022-12-09,GRVC,114.34,1108413
2022-12-12,GRVC,112.15,1447365
2022-12-13,GRVC,109.78,1572297
2022-12-14,GRVC,109.5,832738
2022-12-15,GRVC,108.31,1264811
2022-12-16,GRVC,108.8,877578
2022-12-19,GRVC,107.51,1226420
2022-12-20,GRVC,108.19,898506
2022-12-21,GRVC,107.82,789620
2022-12-22,GRVC,106.44,1241476
2022-12-23,GRVC,106.83,808239
2022-12-26,GRVC,108.8,1348873
2022-12-27,GRVC,108.11,1011821
2022-12-28,GRVC,109.01,1109590
2022-12-29,GRVC,108.99,540435
2022-12-30,GRVC,110.44,1239505
2023-01-02,GRVC,111.02,1001847
2023-01-03,GRVC,107.3,2122507
2023-01-04,GRVC,109.42,1500326
2023-01-05,GRVC,110.19,784393
2023-01-06,GRVC,107.76,1684240
2023-01-09,GRVC,107.51,807969
2023-01-10,GRVC,110.09,1586689
2023-01-11,GRVC,112.64,1739443
2023-01-12,GRVC,113.04,829103
2023-01-13,GRVC,113.21,683341
2023-01-16,GRVC,114.67,1149820
2023-01-17,GRVC,114.19,715250
2023-01-18,GRVC,115.22,1046951
2023-01-19,GRVC,120.91,2571855
2023-01-20,GRVC,120.97,692599
2023-01-23,GRVC,120.85,740580
2023-01-24,GRVC,120.39,979901
2023-01-25,GRVC,118.79,1154259
2023-01-26,GRVC,120.61,1252598
2023-01-27,GRVC,123.27,1684991
2023-01-30,GRVC,122.8,923814
2023-01-31,GRVC,119.7,1818312
2023-02-01,GRVC,119.54,532060
2023-02-02,GRVC,121.9,1448346
2023-02-03,GRVC,121.31,813753
2023-02-06,GRVC,123.83,1520921
2023-02-07,GRVC,127.58,1849240
2023-02-08,GRVC,129.34,1179888
2023-02-09,GRVC,130.18,874658
2023-02-10,GRVC,131.57,1037588
2023-02-13,GRVC,132.61,970360
2023-02-14,GRVC,133,658903
2023-02-15,GRVC,133.53,777130
2023-02-16,GRVC,134.94,1256892
2023-02-17,GRVC,133.57,1119195
2023-02-20,GRVC,132.8,741169
2023-02-21,GRVC,132.7,560858
2023-02-22,GRVC,133.25,681651
2023-02-23,GRVC,136.06,1501871
2023-02-24,GRVC,134.1,1255534
2023-02-27,GRVC,132.29,1358131
2023-02-28,GRVC,131.48,915950
2023-03-01,GRVC,133.18,1058947
2023-03-02,GRVC,134.86,1249021
2023-03-03,GRVC,134.13,724745
2023-03-06,GRVC,136.67,1446256
2023-03-07,GRVC,142.7,2564136
2023-03-08,GRVC,142.12,777902
2023-03-09,GRVC,142.61,844764
2023-03-10,GRVC,140.89,1146756
2023-03-13,GRVC,142.61,1222703
2023-03-14,GRVC,137.76,2128429
2023-03-15,GRVC,137.11,1008821
2023-03-16,GRVC,140.67,1796397
2023-03-17,GRVC,140.77,592521
2023-03-20,GRVC,143.79,1509084
2023-03-21,GRVC,143.63,833011
2023-03-22,GRVC,144,778627
2023-03-23,GRVC,142.94,881423
2023-03-24,GRVC,146.3,1608795
2023-03-27,GRVC,148.43,1257825
2023-03-28,GRVC,154.31,2276400
2023-03-29,GRVC,157.28,1522734
2023-03-30,GRVC,158.66,915800
2023-03-31,GRVC,157.99,785114
2023-04-03,GRVC,157.52,659773
2023-04-04,GRVC,154.17,1551180
2023-04-05,GRVC,155.48,861114
2023-04-06,GRVC,156.31,982737
2023-04-07,GRVC,155.79,825722
2023-04-10,GRVC,155.38,874641
2023-04-11,GRVC,158.28,1364074
2023-04-12,GRVC,158.18,577282
2023-04-13,GRVC,153.78,1827267
2023-04-14,GRVC,155.36,916954
2023-04-17,GRVC,157.51,1278517
2023-04-18,GRVC,160.82,1645991
2023-04-19,GRVC,165.27,1750486
2023-04-20,GRVC,167.64,1095019
2023-04-21,GRVC,171.72,1643498
2023-04-24,GRVC,176.38,1726069
2023-04-25,GRVC,178.05,979771
2023-04-26,GRVC,176.67,1010085
2023-04-27,GRVC,179.79,1563569
2023-04-28,GRVC,180.01,550248
2023-05-01,GRVC,178.1,1120269
2023-05-02,GRVC,177.83,682751
2023-05-03,GRVC,174.03,1546575
2023-05-04,GRVC,173.28,946049
2023-05-05,GRVC,176.09,1345560
2023-05-08,GRVC,176.14,720763
2023-05-09,GRVC,184.8,2619320
2023-05-10,GRVC,187.33,1096589
2023-05-11,GRVC,188.77,1065734
2023-05-12,GRVC,187.31,1027457
2023-05-15,GRVC,187.18,772385
2023-05-16,GRVC,182.75,1723792
2023-05-17,GRVC,183.19,696209
2023-05-18,GRVC,182.12,920038
2023-05-19,GRVC,188,1926861
2023-05-22,GRVC,186.88,760358
2023-05-23,GRVC,187.21,792913
2023-05-24,GRVC,188.9,861751
2023-05-25,GRVC,191.19,1110339
2023-05-26,GRVC,189.96,985877
2023-05-29,GRVC,189.19,820353
2023-05-30,GRVC,194.11,1830991
2023-05-31,GRVC,194.76,833001
2023-06-01,GRVC,187.29,2196941
2023-06-02,GRVC,184.58,1257375
2023-06-05,GRVC,181.8,1399312
