flip_id,outcome,session
1,0,session1
2,1,session1
3,0,session1
4,1,session1
5,0,session1
6,0,session1
7,0,session1
8,0,session1
9,1,session1
10,1,session1
11,1,session1
12,1,session1
13,0,session1
14,1,session1
15,0,session1
16,0,session1
17,1,session1
18,1,session1
19,1,session1
20,0,session1
21,1,session1
22,1,session1
23,0,session1
24,0,session1
25,1,session1
26,1,session1
27,0,session1
28,1,session1
29,1,session1
30,0,session1
31,0,session1
32,0,session1
33,1,session1
34,0,session1
35,0,session1
36,1,session1
37,1,session1
38,1,session1
39,1,session1
40,0,session1
41,1,session1
42,1,session1
43,1,session1
44,0,session1
45,0,session1
46,1,session1
47,0,session1
48,0,session1
49,1,session1
50,0,session1
51,1,session2
52,1,session2
53,0,session2
54,0,session2
55,1,session2
56,0,session2
57,1,session2
58,1,session2
59,0,session2
60,1,session2
61,0,session2
62,1,session2
63,1,session2
64,0,session2
65,1,session2
66,1,session2
67,1,session2
68,1,session2
69,1,session2
70,1,session2
71,1,session2
72,0,session2
73,1,session2
74,1,session2
75,1,session2
76,1,session2
77,1,session2
78,1,session2
79,0,session2
80,0,session2
81,0,session2
82,0,session2
83,1,session2
84,1,session2
85,0,session2
86,1,session2
87,0,session2
88,1,session2
89,1,session2
90,1,session2
91,1,session2
92,1,session2
93,1,session2
94,1,session2
95,1,session2
96,1,session2
97,1,session2
98,0,session2
99,1,session2
100,1,session2
101,0,session3
102,1,session3
103,0,session3
104,1,session3
105,1,session3
106,1,session3
107,1,session3
108,1,session3
109,1,session3
110,0,session3
111,1,session3
112,1,session3
113,1,session3
114,1,session3
115,1,session3
116,0,session3
117,0,session3
118,1,session3
119,0,session3
120,0,session3
121,0,session3
122,0,session3
123,0,session3
124,1,session3
125,1,session3
126,1,session3
127,1,session3
128,1,session3
129,1,session3
130,0,session3
131,0,session3
132,0,session3
133,0,session3
134,0,session3
135,1,session3
136,1,session3
137,1,session3
138,1,session3
139,0,session3
140,1,session3
141,1,session3
142,1,session3
143,1,session3
144,1,session3
145,0,session3
146,0,session3
147,0,session3
148,1,session3
149,0,session3
150,1,session3
151,1,session4
152,1,session4
153,0,session4
154,1,session4
155,0,session4
156,1,session4
157,0,session4
158,1,session4
159,0,session4
160,1,session4
161,1,session4
162,1,session4
163,1,session4
164,1,session4
165,0,session4
166,1,session4
167,1,session4
168,0,session4
169,0,session4
170,1,session4
171,0,session4
172,0,session4
173,1,session4
174,0,session4
175,1,session4
176,1,session4
177,0,session4
178,1,session4
179,1,session4
180,1,session4
181,1,session4
182,0,session4
183,1,session4
184,1,session4
185,1,session4
186,1,session4
187,0,session4
188,0,session4
189,0,session4
190,1,session4
191,1,session4
192,0,session4
193,1,session4
194,1,session4
195,0,session4
196,1,session4
197,1,session4
198,1,session4
199,1,session4
200,1,session4
